mu,VN,VCB,m112,m122,m222,lam1,lam2,lam3,lam4,lam5,yt,gp,g
269.232323232323,-541045119.57542,-547495171.584982,1865.20412959867,1035.7642692249,-61134.4099383029,0.00194437614057531,3.60199036843218,-0.0766038378161361,0.657818493664678,-0.595186895509114,1.30306535770066,0.34987119779482,0.652477253434744
269.737373737374,-541187121.644879,-547644083.694029,1864.42536768733,1035.78764031746,-61155.9448677517,0.00196675088327483,3.60414285608811,-0.0765496347360953,0.65797281051782,-0.595331584470877,1.30300532558252,0.349874755828844,0.652467363615256
270.242424242424,-541329062.177709,-547793144.524829,1863.6474480669,1035.81096138485,-61177.4557997336,0.0019890920012762,3.60629394373104,-0.0764954711135729,0.658126918418484,-0.595476078784553,1.3029454326336,0.349878307315357,0.652457492744383
270.747474747475,-541470941.6584,-547942353.127613,1862.87036799584,1035.8342326278,-61198.9428170336,0.00201139961359385,3.60844363610188,-0.0764413468254654,0.658280818092543,-0.595620379123884,1.30288567827113,0.349881852278612,0.652447640750493
271.252525252525,-541612760.5694,-548091708.599557,1862.09412474653,1035.85745424589,-61220.4060020015,0.00203367383859797,3.61059193791866,-0.0763872617492469,0.658434510261994,-0.595764486159026,1.30282606191583,0.349885390742728,0.652437807562361
271.757575757576,-541754519.391129,-548241210.07767,1861.3187156052,1035.88062643752,-61241.8454365556,0.00205591479401925,3.61273885387674,-0.0763332157629658,0.658587995644984,-0.595908400556573,1.30276658299198,0.349888922731691,0.652427993109163
272.262626262626,-541896218.60199,-548390856.733572,1860.5441378718,1035.90374939992,-61263.2612021855,0.00207812259695347,3.61488438864893,-0.0762792087452402,0.658741274955846,-0.596052122979584,1.30270724092726,0.349892448269352,0.65241819732047
272.767676767677,-542037858.678371,-548540647.769527,1859.77038885994,1035.92682332918,-61284.6533799549,0.00210029736386612,3.61702854688563,-0.0762252405752552,0.658894348905119,-0.596195654087607,1.30264803515286,0.349895967379432,0.652408420126251
273.272727272727,-542179440.094663,-548690582.41535,1858.99746589675,1035.94984842024,-61306.022050505,0.00212243921059701,3.61917133321501,-0.0761713111327585,0.659047218199577,-0.596338994536704,1.30258896510335,0.34989948008552,0.652398661456864
273.777777777778,-542320963.323264,-548840659.92595,1858.22536632285,1035.9728248669,-61327.3672940575,0.00214454825236473,3.62131275224312,-0.0761174202980569,0.659199883542259,-0.596482144979478,1.3025300302167,0.349902986411075,0.652388921243059
274.282828282828,-542462428.83459,-548990879.579318,1857.4540874922,1035.99575286185,-61348.6891904174,0.00216662460377115,3.62345280855407,-0.0760635679520132,0.659352345632491,-0.596625106065095,1.30247122993423,0.349906486379428,0.65237919941597
274.787878787879,-542603837.097084,-549141240.674876,1856.68362677203,1036.01863259665,-61369.9878189757,0.00218866837880588,3.62559150671016,-0.0760097539760419,0.659504605165916,-0.596767878439311,1.30241256370063,0.34990998001378,0.652369495907113
275.292929292929,-542745188.57723,-549291742.532086,1855.91398154276,1036.04146426175,-61391.2632587129,0.00221067969085065,3.627728851252,-0.0759559782521063,0.659656662834519,-0.596910462744493,1.30235403096387,0.349913467337206,0.652359810648388
